karmn,Name,adopted_vsini_kms-1,adopted_err_kms-1,vsini_oc_kms-1,err_oc_kms-1,vsini_ni_kms-1,err_ni_kms-1,vsini_literature_kms-1,err_literature_kms-1,ref_literature,equatorial_velocity_kms-1,err_eq_velocity_kms-1
J10251-102,BD-09 3070,< 2,-,2,-,2,-,1.1,0.11,Rein18,1.03,0.01
J10289+008,BD+01 2447,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.66,0.01
J10350-094,LP 670-017,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J10354+694,LP 037-179,< 2,-,2,-,2,-,3,0.3,Jeff18,0.17,0.01
J10360+051,RY Sex,3.02346307623452,0.733529419907378,3.02346307623452,0.733529419907378,2,-,2.1,1.6,Rein18,2.67,0.03
J10396-069,GJ 399,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J10416+376,GJ 1134,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.21,0
J10482-113,LP 731-058,< 2,-,2,-,2,-,2.1,1.5,Rein18,4.01,0.4
J10504+331,G 119-037,< 2,-,2,-,2,-,2,0.2,Rein18,-,-
J10508+068,EE Leo,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.2,0.01
J10564+070,CN Leo,2.20961228533483,0.516238790937125,2.20961228533483,0.516238790937125,2.19935235782254,0.524204353799402,0.2,0.02,Rein18,2.11,0.03
J10584-107,LP 731-076,3.39138312292869,0.576688272806111,3.39138312292869,0.576688272806111,3.38125122048627,0.579493557621646,2.8,1.5,Rein18,-,-
J11000+228,Ross 104,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.36,0.08
J11026+219,DS Leo,< 2,-,2.60260119146258,0.366125530746211,2.59909827557887,0.371698258338961,2.3,1.5,Rein18,1.9,0.08
J11033+359,Lalande 21185,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.36,0.01
J11044+304,LSPM J1104+3027,< 2,-,2,-,2,-,-,-,,-,-
J11054+435,BD+44 2051A,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.53,0.01
J11055+435,WX UMa,< 2,-,8.32587900325911,3.00916835171257,8.50129958034645,3.47848487873901,3.5,2.7,Rein18,8.25,0.83
J11108+479,G 176-015,< 2,-,2,-,2,-,-,-,,0.11,0
J11110+304W,HD  97101B,2.13118480570902,0.67203731789432,2.13118480570902,0.67203731789432,2.13817598103858,0.676371242354771,0.7,0.07,Rein18,-,-
J11126+189,StKM 1-928,< 2,-,2,-,2,-,0.4,0.04,Rein18,-,-
J11195+466,LP 169-022,< 2,-,2,-,2,-,-,-,,-,-
J11201-104,LP 733-099,4.64239066341162,0.209499752745348,4.64239066341162,0.209499752745348,4.65859971302794,0.224625644163148,4.6,1.5,Rein18,4.55,0.01
J11289+101,Wolf 398,< 2,-,2,-,2,-,2,0.2,Rein18,-,-
J11302+076,K2-18,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.6,0.01
J11306-080,LP 672-042,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J11417+427,Ross 1003,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.25,0.01
J11421+267,Ross 905,< 2,-,2,-,2.1110802524761,0.117308871886812,0.2,0.02,Rein18,0.47,0.01
J11423+230,LP 375-23,2.06553984871905,0.23663394998941,2.06553984871905,0.23663394998941,2.05401468699383,0.240164522056648,-,-,,-,-
J11467-140,GJ 443,< 2,-,2,-,2,-,0.9,0.09,Rein18,-,-
J11474+667,1RXS J114728.8+664405,3.2756586075999,0.832240296464087,3.2756586075999,0.832240296464087,3.2522709455618,0.859890362080178,3.1,1.5,Rein18,1.13,0.01
J11476+002,LP 613-49A,< 2,-,2.82470093918925,0.572244456986922,2.81151064411071,0.570204908439118,2.3,1.5,Rein18,1.49,0.02
J11476+786,GJ 445,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J11477+008,FI Vir,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.08,0
J11509+483,GJ 1151,< 2,-,2,-,3.54448924006345,0.0535742592262496,0.2,0.02,Rein18,0.07,0
J11511+352,BD+36 2219,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.99,0.01
J12054+695,Ross 689,< 2,-,2,-,2,-,2,0.2,Rein18,0.15,0
J12100-150,LP 734-032,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.23,0
